11:58:23:644 [ALWAYS]	GUDE Logging Started
11:58:23:646 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
11:58:23:646 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
11:58:23:646 [ERROR]	Initialize resume cache pointer failure
11:58:23:647 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
11:58:23:649 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
11:58:27:614 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
11:58:27:615 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
11:58:27:615 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
11:58:27:615 [ERROR]	Initialize resume cache pointer failure
11:58:27:615 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
11:58:27:615 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
